date,time,temperature,cloud_cover,wind,precipitation
2024-07-20,00:00,19.7,Clear,calm,0.0
2024-07-20,01:00,19.5,Clear,calm,0.0
2024-07-20,02:00,19.3,Clear,calm,0.0
2024-07-20,03:00,19.1,Clear,calm,0.0
2024-07-20,04:00,18.9,Clear,calm,0.0
2024-07-20,05:00,18.8,Clear,calm,0.0
2024-07-20,06:00,19.5,Sunny,calm,0.0
2024-07-20,07:00,20.7,Sunny,calm,0.0
2024-07-20,08:00,22.3,Partly cloudy,calm,0.0
2024-07-20,09:00,23.9,Partly cloudy,calm,0.0
2024-07-20,10:00,24.9,Partly cloudy,calm,0.0
2024-07-20,11:00,25.7,Cloudy,calm,0.0
2024-07-20,12:00,25.4,Partly cloudy,calm,0.0
2024-07-20,13:00,24.5,Partly cloudy,calm,0.0
2024-07-20,14:00,23.8,Partly cloudy,calm,0.0
2024-07-20,15:00,23.6,Partly cloudy,calm,0.0
2024-07-20,16:00,23.4,Partly cloudy,calm,0.0
2024-07-20,17:00,23.1,Partly cloudy,calm,0.0
2024-07-20,18:00,23.0,Partly cloudy,calm,0.0
2024-07-20,19:00,22.6,Partly cloudy,calm,0.0
2024-07-20,20:00,22.2,Partly cloudy,calm,0.0
2024-07-20,21:00,22.0,Partly cloudy,calm,0.0
2024-07-20,22:00,21.6,Patchy rain possible,calm,0.01
2024-07-20,23:00,21.1,Partly cloudy,calm,0.0
2024-07-21,00:00,20.0,Partly cloudy,calm,0.0
2024-07-21,01:00,19.6,Clear,calm,0.0
2024-07-21,02:00,19.4,Clear,calm,0.0
2024-07-21,03:00,19.2,Clear,calm,0.0
2024-07-21,04:00,18.9,Clear,calm,0.0
2024-07-21,05:00,18.7,Clear,calm,0.0
2024-07-21,06:00,19.1,Sunny,calm,0.0
2024-07-21,07:00,20.4,Sunny,calm,0.0
2024-07-21,08:00,22.2,Sunny,calm,0.0
2024-07-21,09:00,24.0,Sunny,calm,0.0
2024-07-21,10:00,25.6,Sunny,calm,0.0
2024-07-21,11:00,27.0,Sunny,calm,0.0
2024-07-21,12:00,28.1,Sunny,calm,0.0
2024-07-21,13:00,28.6,Sunny,calm,0.0
2024-07-21,14:00,28.8,Sunny,breezy,0.0
2024-07-21,15:00,28.9,Sunny,breezy,0.0
2024-07-21,16:00,28.6,Sunny,breezy,0.0
2024-07-21,17:00,27.9,Partly cloudy,breezy,0.0
2024-07-21,18:00,26.4,Sunny,breezy,0.0
2024-07-21,19:00,24.7,Sunny,breezy,0.0
2024-07-21,20:00,23.3,Sunny,breezy,0.0
2024-07-21,21:00,22.3,Clear,breezy,0.0
2024-07-21,22:00,21.6,Clear,breezy,0.0
2024-07-21,23:00,21.3,Clear,calm,0.0
2024-07-22,00:00,21.1,Clear,calm,0.0
2024-07-22,01:00,20.9,Clear,calm,0.0
2024-07-22,02:00,20.7,Clear,calm,0.0
2024-07-22,03:00,20.6,Clear,calm,0.0
2024-07-22,04:00,20.7,Clear,calm,0.0
2024-07-22,05:00,20.9,Clear,calm,0.0
2024-07-22,06:00,21.3,Partly cloudy,calm,0.0
2024-07-22,07:00,22.0,Partly cloudy,calm,0.0
2024-07-22,08:00,22.8,Partly cloudy,calm,0.0
2024-07-22,09:00,23.5,Partly cloudy,calm,0.0
2024-07-22,10:00,24.2,Partly cloudy,calm,0.0
2024-07-22,11:00,24.8,Partly cloudy,breezy,0.0
2024-07-22,12:00,24.8,Patchy rain possible,breezy,0.01
2024-07-22,13:00,24.6,Patchy rain possible,breezy,0.03
2024-07-22,14:00,24.5,Partly cloudy,breezy,0.0
2024-07-22,15:00,24.9,Partly cloudy,calm,0.0
2024-07-22,16:00,25.0,Partly cloudy,breezy,0.0
2024-07-22,17:00,24.8,Partly cloudy,breezy,0.0
2024-07-22,18:00,24.3,Partly cloudy,breezy,0.0
2024-07-22,19:00,23.3,Partly cloudy,breezy,0.0
2024-07-22,20:00,22.3,Partly cloudy,calm,0.0
2024-07-22,21:00,21.7,Mist,calm,0.0
2024-07-22,22:00,21.5,Mist,calm,0.0
2024-07-22,23:00,21.5,Mist,calm,0.06
2024-07-23,00:00,21.2,Light drizzle,calm,0.2
2024-07-23,01:00,21.1,Fog,calm,0.1
2024-07-23,02:00,21.1,Fog,calm,0.06
2024-07-23,03:00,21.2,Fog,calm,0.0
2024-07-23,04:00,21.1,Fog,calm,0.0
2024-07-23,05:00,20.9,Fog,calm,0.0
2024-07-23,06:00,21.1,Fog,calm,0.0
2024-07-23,07:00,21.8,Fog,calm,0.0
2024-07-23,08:00,23.0,Cloudy,calm,0.0
2024-07-23,09:00,24.6,Partly cloudy,calm,0.0
2024-07-23,10:00,26.1,Partly cloudy,calm,0.0
2024-07-23,11:00,27.4,Patchy rain possible,breezy,0.05
2024-07-23,12:00,28.4,Patchy rain possible,breezy,0.11
2024-07-23,13:00,29.6,Patchy rain possible,breezy,0.13
2024-07-23,14:00,30.1,Partly cloudy,breezy,0.0
2024-07-23,15:00,30.3,Partly cloudy,breezy,0.0
2024-07-23,16:00,30.1,Partly cloudy,breezy,0.0
2024-07-23,17:00,29.7,Partly cloudy,breezy,0.0
2024-07-23,18:00,29.0,Partly cloudy,breezy,0.0
2024-07-23,19:00,27.1,Sunny,breezy,0.0
2024-07-23,20:00,25.5,Sunny,breezy,0.0
2024-07-23,21:00,24.6,Partly cloudy,breezy,0.0
2024-07-23,22:00,23.9,Patchy rain possible,calm,0.14
2024-07-23,23:00,23.6,Light rain shower,breezy,0.36
2024-07-24,00:00,22.7,Patchy rain possible,calm,0.05
2024-07-24,01:00,22.4,Patchy light rain,calm,1.5
2024-07-24,02:00,22.2,Light drizzle,calm,0.33
2024-07-24,03:00,21.9,Light drizzle,calm,0.23
2024-07-24,04:00,21.7,Light rain shower,calm,0.43
2024-07-24,05:00,21.5,Light rain shower,calm,0.58
2024-07-24,06:00,21.4,Light rain shower,calm,0.6
2024-07-24,07:00,21.5,Light rain shower,calm,0.33
2024-07-24,08:00,21.7,Light rain shower,calm,0.25
2024-07-24,09:00,21.8,Light rain shower,calm,0.55
2024-07-24,10:00,21.8,Light rain shower,calm,0.58
2024-07-24,11:00,21.7,Light rain shower,calm,1.11
2024-07-24,12:00,21.7,Light rain shower,calm,1.58
2024-07-24,13:00,21.6,Light rain shower,calm,0.95
2024-07-24,14:00,21.5,Mist,calm,0.06
2024-07-24,15:00,22.7,Mist,calm,0.0
2024-07-24,16:00,23.9,Partly cloudy,calm,0.0
2024-07-24,17:00,24.3,Cloudy,calm,0.0
2024-07-24,18:00,23.9,Patchy rain possible,calm,0.01
2024-07-24,19:00,23.0,Patchy rain possible,calm,0.01
2024-07-24,20:00,22.0,Partly cloudy,calm,0.0
2024-07-24,21:00,21.4,Mist,calm,0.0
2024-07-24,22:00,21.2,Fog,calm,0.0
2024-07-24,23:00,21.1,Fog,calm,0.0
2024-07-25,00:00,21.2,Mist,calm,0.0
2024-07-25,01:00,21.3,Mist,calm,0.0
2024-07-25,02:00,21.4,Mist,calm,0.0
2024-07-25,03:00,21.5,Mist,calm,0.14
2024-07-25,04:00,21.4,Light drizzle,calm,0.41
2024-07-25,05:00,21.5,Mist,calm,0.14
2024-07-25,06:00,21.6,Light rain shower,calm,0.2
2024-07-25,07:00,21.5,Patchy rain possible,calm,0.58
2024-07-25,08:00,21.4,Light rain shower,calm,1.72
2024-07-25,09:00,21.4,Light rain shower,calm,0.77
2024-07-25,10:00,21.5,Light rain shower,calm,0.53
2024-07-25,11:00,21.8,Fog,calm,0.11
2024-07-25,12:00,22.3,Mist,calm,0.0
2024-07-25,13:00,22.4,Light rain shower,breezy,0.6
2024-07-25,14:00,23.1,Patchy rain possible,breezy,0.01
2024-07-25,15:00,24.0,Light rain shower,breezy,0.17
2024-07-25,16:00,24.7,Patchy rain possible,breezy,0.06
2024-07-25,17:00,24.9,Patchy rain possible,breezy,0.69
2024-07-25,18:00,24.3,Patchy rain possible,breezy,0.55
2024-07-25,19:00,23.1,Light rain shower,breezy,2.36
2024-07-25,20:00,22.3,Light rain shower,calm,1.57
2024-07-25,21:00,21.7,Patchy rain possible,calm,0.61
2024-07-25,22:00,21.3,Partly cloudy,calm,0.0
2024-07-25,23:00,20.9,Clear,calm,0.0
2024-07-26,00:00,20.8,Mist,calm,0.02
2024-07-26,01:00,20.5,Partly cloudy,calm,0.0
2024-07-26,02:00,20.2,Partly cloudy,calm,0.0
2024-07-26,03:00,19.6,Mist,calm,0.0
2024-07-26,04:00,18.5,Clear,breezy,0.0
2024-07-26,05:00,17.7,Clear,breezy,0.0
2024-07-26,06:00,17.4,Sunny,breezy,0.0
2024-07-26,07:00,18.0,Sunny,breezy,0.0
2024-07-26,08:00,19.3,Sunny,breezy,0.0
2024-07-26,09:00,21.1,Partly cloudy,breezy,0.0
2024-07-26,10:00,22.7,Sunny,breezy,0.0
2024-07-26,11:00,24.0,Sunny,breezy,0.0
2024-07-26,12:00,25.1,Sunny,calm,0.0
2024-07-26,13:00,25.4,Sunny,calm,0.0
2024-07-26,14:00,25.3,Sunny,calm,0.0
2024-07-26,15:00,25.3,Sunny,breezy,0.0
2024-07-26,16:00,24.9,Sunny,breezy,0.0
2024-07-26,17:00,24.3,Sunny,breezy,0.0
2024-07-26,18:00,23.2,Sunny,breezy,0.0
2024-07-26,19:00,21.9,Sunny,calm,0.0
2024-07-26,20:00,20.9,Sunny,calm,0.0
2024-07-26,21:00,20.2,Clear,calm,0.0
2024-07-26,22:00,19.8,Clear,calm,0.0
2024-07-26,23:00,19.6,Clear,calm,0.0
2024-07-27,00:00,19.5,Clear,calm,0.0
2024-07-27,01:00,19.4,Clear,calm,0.0
2024-07-27,02:00,19.4,Clear,calm,0.0
2024-07-27,03:00,19.3,Clear,calm,0.0
2024-07-27,04:00,19.2,Clear,calm,0.0
2024-07-27,05:00,19.0,Clear,calm,0.0
2024-07-27,06:00,19.1,Sunny,calm,0.0
2024-07-27,07:00,20.3,Sunny,calm,0.0
2024-07-27,08:00,22.0,Sunny,calm,0.0
2024-07-27,09:00,23.9,Sunny,calm,0.0
2024-07-27,10:00,25.3,Sunny,calm,0.0
2024-07-27,11:00,26.4,Sunny,calm,0.0
2024-07-27,12:00,27.0,Sunny,calm,0.0
2024-07-27,13:00,27.4,Sunny,breezy,0.0
2024-07-27,14:00,27.6,Sunny,breezy,0.0
2024-07-27,15:00,27.5,Sunny,breezy,0.0
2024-07-27,16:00,27.0,Sunny,breezy,0.0
2024-07-27,17:00,26.3,Sunny,breezy,0.0
2024-07-27,18:00,25.1,Partly cloudy,breezy,0.0
2024-07-27,19:00,23.3,Partly cloudy,calm,0.0
2024-07-27,20:00,21.9,Sunny,calm,0.0
2024-07-27,21:00,21.0,Partly cloudy,calm,0.0
2024-07-27,22:00,20.4,Partly cloudy,calm,0.0
2024-07-27,23:00,20.0,Clear,calm,0.0
2024-07-28,00:00,19.6,Clear,calm,0.0
2024-07-28,01:00,19.2,Clear,calm,0.0
2024-07-28,02:00,18.9,Clear,calm,0.0
2024-07-28,03:00,18.6,Clear,calm,0.0
2024-07-28,04:00,18.4,Clear,calm,0.0
2024-07-28,05:00,18.2,Clear,calm,0.0
2024-07-28,06:00,18.7,Sunny,calm,0.0
2024-07-28,07:00,20.2,Sunny,calm,0.0
2024-07-28,08:00,22.2,Sunny,calm,0.0
2024-07-28,09:00,24.3,Sunny,calm,0.0
2024-07-28,10:00,26.2,Sunny,calm,0.0
2024-07-28,11:00,27.5,Sunny,calm,0.0
2024-07-28,12:00,28.4,Sunny,calm,0.0
2024-07-28,13:00,28.8,Partly cloudy,calm,0.0
2024-07-28,14:00,29.1,Sunny,calm,0.0
2024-07-28,15:00,29.0,Sunny,calm,0.0
2024-07-28,16:00,28.0,Sunny,calm,0.0
2024-07-28,17:00,26.7,Sunny,calm,0.0
2024-07-28,18:00,25.8,Sunny,calm,0.0
2024-07-28,19:00,24.4,Sunny,calm,0.0
2024-07-28,20:00,23.1,Sunny,calm,0.0
2024-07-28,21:00,22.1,Clear,calm,0.0
2024-07-28,22:00,21.5,Clear,breezy,0.0
2024-07-28,23:00,21.4,Clear,breezy,0.0
2024-07-29,00:00,21.4,Clear,breezy,0.0
2024-07-29,01:00,20.8,Clear,calm,0.0
2024-07-29,02:00,20.2,Partly cloudy,calm,0.0
2024-07-29,03:00,19.9,Clear,calm,0.0
2024-07-29,04:00,19.8,Clear,calm,0.0
2024-07-29,05:00,19.8,Clear,calm,0.0
2024-07-29,06:00,20.0,Patchy rain possible,calm,0.04
2024-07-29,07:00,20.7,Patchy rain possible,calm,0.07
2024-07-29,08:00,21.4,Patchy rain possible,calm,0.09
2024-07-29,09:00,22.7,Patchy rain possible,calm,0.03
2024-07-29,10:00,24.2,Sunny,calm,0.0
2024-07-29,11:00,25.5,Sunny,breezy,0.0
2024-07-29,12:00,26.8,Sunny,breezy,0.0
2024-07-29,13:00,27.5,Sunny,breezy,0.0
2024-07-29,14:00,27.8,Sunny,breezy,0.0
2024-07-29,15:00,27.7,Sunny,breezy,0.0
2024-07-29,16:00,27.0,Patchy rain possible,breezy,0.06
2024-07-29,17:00,26.0,Patchy rain possible,breezy,0.13
2024-07-29,18:00,24.6,Patchy rain possible,breezy,0.13
2024-07-29,19:00,23.3,Sunny,breezy,0.0
2024-07-29,20:00,22.5,Patchy rain possible,breezy,0.08
2024-07-29,21:00,21.8,Patchy rain possible,breezy,0.32
2024-07-29,22:00,21.5,Patchy rain possible,breezy,0.71
2024-07-29,23:00,21.4,Patchy rain possible,breezy,0.45
2024-07-30,00:00,21.6,Partly cloudy,breezy,0.0
2024-07-30,01:00,21.5,Cloudy,breezy,0.0
2024-07-30,02:00,21.3,Mist,breezy,0.0
2024-07-30,03:00,21.2,Mist,breezy,0.0
2024-07-30,04:00,21.1,Mist,breezy,0.0
2024-07-30,05:00,21.2,Mist,breezy,0.0
2024-07-30,06:00,21.6,Partly cloudy,breezy,0.0
2024-07-30,07:00,22.5,Partly cloudy,breezy,0.0
2024-07-30,08:00,23.7,Sunny,breezy,0.0
2024-07-30,09:00,25.0,Partly cloudy,breezy,0.0
2024-07-30,10:00,26.1,Partly cloudy,windy,0.0
2024-07-30,11:00,26.8,Sunny,windy,0.0
2024-07-30,12:00,27.1,Patchy rain possible,windy,0.02
2024-07-30,13:00,27.0,Patchy rain possible,windy,0.13
2024-07-30,14:00,26.8,Patchy rain possible,windy,0.01
